outcome,n,students,seatings_tested,beta_avg,p_avg,beta_min,beta_max,p_min,p_max,best_delta_aic_vs_avg,worst_delta_aic_vs_avg,min_corr_with_avg,max_abs_diff_ppm
rt_mean,44,12,4096,-0.3172,0.8338,-0.427,-0.2048,0.7765,0.8927,-0.0365,0.0258,0.9983,65.5
fatigue_now,38,11,2048,0.0672,0.1049,0.0641,0.0699,,,-0.5365,0.4913,0.9988,61.0
